"sno","Current"
"470","64584"
"471","64668"
"472","64869"
"473","64970"
"474","65096"
"475","65173"
"476","65261"
"477","65325"
"478","65388"
"479","65446"
"480","65495"
"481","65574"
"482","65626"
"483","65701"
"484","65759"
"485","65805"
"486","65861"
"487","65927"
"488","65980"
"489","66027"
"490","66087"
"491","66140"
"492","66169"
"493","66247"
"494","66305"
"495","66353"
"496","66399"
"497","66452"
"498","66508"
"499","66543"
"500","66603"
"501","66658"
"502","66056"
"503","66091"
"504","66119"
"505","66175"
"506","66204"
"507","66269"
"508","66333"
"509","66407"
"510","66450"
"511","66491"
"512","66551"
"513","66572"
"514","66631"
"515","66676"
"516","66731"
"517","66771"
"518","66838"
"519","66853"
"520","66868"
"521","66915"
